filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,quantidade,preco_unitario,desconto,forma_pagamento,vendedor
FIL001,2026-06-17 04:25:00,890.123.456-78,7891234567891,Paracetamol 750mg 20cp,1,12.3,0.0,DEBITO,Fernando Souza
FIL001,2026-06-16 21:33:00,890.123.456-78,7891234567898,Fralda Huggies Supreme G,3,89.9,1.48,DINHEIRO,Carla Oliveira
FIL001,2026-06-16 22:29:00,345.678.901-23,7891234567892,Omeprazol 20mg 30cp,3,24.9,3.27,CONVENIO,Diego Costa
FIL001,2026-06-16 21:33:00,890.123.456-78,7891234567898,Fralda Huggies Supreme G,3,89.9,1.48,DINHEIRO,Carla Oliveira
FIL001,2026-06-16 23:04:00,789.012.345-67,7891234567891,Paracetamol 750mg 20cp,2,12.3,4.02,DINHEIRO,Carla Oliveira
FIL001,2026-06-16 16:17:00,345.678.901-23,7891234567899,Perfume Natura Essencial,2,145.0,0.0,DINHEIRO,Ana Silva
FIL001,2026-06-17 02:13:00,456.789.012-34,7891234567891,Paracetamol 750mg 20cp,1,12.3,3.93,PIX,Bruno Santos
FIL001,2026-06-17 05:48:00,456.789.012-34,7891234567891,Paracetamol 750mg 20cp,2,12.3,0.0,CONVENIO,Bruno Santos
FIL001,2026-06-17 00:20:00,890.123.456-78,7891234567899,Perfume Natura Essencial,2,145.0,1.51,PIX,Diego Costa
FIL001,2026-06-16 22:29:00,345.678.901-23,7891234567892,Omeprazol 20mg 30cp,3,24.9,3.27,CONVENIO,Diego Costa
FIL001,2026-06-17 01:23:00,678.901.234-56,7891234567890,Dipirona 500mg 20cp,2,8.5,0.88,PIX,Bruno Santos
FIL001,2026-06-17 04:47:00,567.890.123-45,7891234567900,Whey Protein Growth 1kg,1,179.9,1.15,CONVENIO,Carla Oliveira
FIL001,2026-06-16 20:37:00,,7891234567900,Whey Protein Growth 1kg,4,179.9,0.0,DEBITO,Ana Silva
FIL001,2026-06-16 21:34:00,456.789.012-34,7891234567900,Whey Protein Growth 1kg,3,179.9,4.75,PIX,Diego Costa
FIL001,2026-06-17 01:23:00,678.901.234-56,7891234567890,Dipirona 500mg 20cp,2,8.5,0.88,PIX,Bruno Santos
FIL001,2026-06-17 02:12:00,123.456.789-01,7891234567893,Buscopan Composto 20cp,3,32.4,0.0,DINHEIRO,Diego Costa
FIL001,2026-06-16 18:02:00,234.567.890-12,7891234567891,Paracetamol 750mg 20cp,1,12.3,0.0,DEBITO,Eduarda Lima
FIL001,2026-06-17 04:25:00,890.123.456-78,7891234567891,Paracetamol 750mg 20cp,1,12.3,0.0,DEBITO,Fernando Souza
FIL001,2026-06-17 04:47:00,567.890.123-45,7891234567900,Whey Protein Growth 1kg,1,179.9,1.15,CONVENIO,Carla Oliveira
FIL001,2026-06-16 22:17:00,890.123.456-78,7891234567899,Perfume Natura Essencial,1,145.0,4.28,DEBITO,Ana Silva
