filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,preco_unitario,desconto,forma_pagamento,vendedor
FIL004,2026-06-17 00:49:00,012.345.678-90,7891234567891,Paracetamol 750mg 20cp,12.3,0.0,DEBITO,Diego Costa
FIL004,2026-06-16 18:11:00,,7891234567892,Omeprazol 20mg 30cp,24.9,0.0,CREDITO,Fernando Souza
FIL004,2026-06-16 23:39:00,456.789.012-34,7891234567893,Buscopan Composto 20cp,32.4,0.0,CREDITO,Diego Costa
FIL004,2026-06-16 21:43:00,789.012.345-67,7891234567893,Buscopan Composto 20cp,32.4,0.0,CREDITO,Diego Costa
FIL004,2026-06-17 05:12:00,,7891234567892,Omeprazol 20mg 30cp,24.9,0.0,DEBITO,Carla Oliveira
FIL004,2026-06-16 17:45:00,,7891234567898,Fralda Huggies Supreme G,89.9,0.0,DEBITO,Diego Costa
FIL004,2026-06-16 18:53:00,456.789.012-34,7891234567898,Fralda Huggies Supreme G,89.9,4.42,PIX,Ana Silva
FIL004,2026-06-16 16:25:00,234.567.890-12,7891234567896,Papel Higienico Neve 12 rolos,28.5,0.0,DINHEIRO,Ana Silva
FIL004,2026-06-16 17:53:00,,7891234567895,Shampoo Johnsons Baby 200ml,18.9,0.0,DINHEIRO,Diego Costa
FIL004,2026-06-17 05:08:00,234.567.890-12,7891234567901,Vitamina C 1g 10cp efervescente,22.3,0.0,CREDITO,Bruno Santos
FIL004,2026-06-17 00:46:00,456.789.012-34,7891234567892,Omeprazol 20mg 30cp,24.9,0.0,PIX,Ana Silva
FIL004,2026-06-16 22:40:00,,7891234567893,Buscopan Composto 20cp,32.4,2.98,PIX,Ana Silva
FIL004,2026-06-17 00:36:00,123.456.789-01,7891234567900,Whey Protein Growth 1kg,179.9,0.0,DINHEIRO,Bruno Santos
FIL004,2026-06-16 22:11:00,234.567.890-12,7891234567899,Perfume Natura Essencial,145.0,2.72,CONVENIO,Eduarda Lima
FIL004,2026-06-16 16:24:00,678.901.234-56,7891234567898,Fralda Huggies Supreme G,89.9,0.0,PIX,Ana Silva
